Name,lat,lon
Ozan,46.3833,4.91667
Cormoranche-sur-Saone,46.2333,4.83333
Plagne,46.1833,5.73333
Tossiat,46.1333,5.31667
Pouillat,46.3333,5.43333
Torcieu,45.9167,5.4
Replonges,46.3,4.88333
Corcelles,46.0333,5.58333
Peron,46.2,5.93333
Relevant,46.0833,4.95
Chaveyriat,46.1833,5.06667
Vaux-en-Bugey,45.9167,5.35
Maillat,46.1333,5.55
Faramans,45.9,5.11667
Beon,45.8333,5.75
Saint-Bernard,45.945,4.73723
Rossillon,45.8333,5.6
Pont-d'Ain,46.05,5.33333
Nantua,46.15,5.61667
Chavannes-sur-Reyssouze,46.4333,5.0
Neuville-les-Dames,46.1667,5.0
Flaxieu,45.8167,5.73333
Hotonnes,46.0,5.68333
Saint-Sorlin-en-Bugey,45.8833,5.36667
Songieu,45.9667,5.7
Virieu-le-Petit,45.9,5.71667
Saint-Denis-en-Bugey,45.95,5.33333
Charnoz-sur-Ain,45.8667,5.21667
Chazey-sur-Ain,45.9,5.25
Marchamp,45.7833,5.55
Culoz,45.85,5.78333
Mantenay-Montlin,46.4167,5.08333
Marboz,46.3333,5.25
Foissiat,46.3667,5.18333
Treffort-Cuisiat,46.2714,5.36834
Izieu,45.65,5.63333
Saint-Etienne-du-Bois,46.2833,5.28333
Hauteville-Lompnes,45.9667,5.6
Saint-Trivier-sur-Moignans,46.0667,4.9
Peyriat,46.15,5.51667
Evosges,45.9583,5.5
Poncin,46.0833,5.4
Crans,45.9667,5.21667
Montreal-la-Cluse,46.1867,5.57084
Cleyzieu,45.9,5.43333
Lompnieu,45.9667,5.65
Villereversure,46.1833,5.38333
Saint-Martin-du-Mont,46.1,5.33333
Saint-Genis-Pouilly,46.25,6.01667
Bolozon,46.2,5.48333
Confrancon,46.2667,5.06667
Lochieu,45.9333,5.71667
Chanoz-Chatenay,46.1833,5.03333
Villebois,45.85,5.43333
Ceignes,46.1167,5.5
Saint-Didier-sur-Chalaronne,46.1667,4.81667
Revonnas,46.1667,5.33333
Bourg-Saint-Christophe,45.8833,5.16667
Condeissiat,46.1667,5.08333
Pirajoux,46.3833,5.3
Chalamont,46.0,5.16667
Le Plantay,46.0167,5.08333
Versailleux,45.9833,5.1
Montagnat,46.1667,5.28333
Vieu,45.9,5.68333
Saint-Andre-de-Corcy,45.9167,4.95
Bressolles,45.8667,5.1
Peronnas,46.1833,5.2
Colomieu,45.7333,5.61667
Monthieux,45.95,4.93333
Saint-Jean-sur-Reyssouze,46.4,5.06667
Garnerans,46.2,4.83333
Montrevel-en-Bresse,46.3333,5.13333
Conand,45.8833,5.46667
Challes-la-Montagne,46.1333,5.46667
Mogneneins,46.1333,4.81667
Thoissey,46.1667,4.8
Chaleins,46.0333,4.8
Neuville-sur-Ain,46.0833,5.36667
Thil,45.8167,5.01667
Jujurieux,46.0333,5.41667
Oncieu,45.95,5.46667
Lurcy,46.0667,4.76667
Balan,45.8333,5.1
Ambutrix,45.9333,5.33333
Sainte-Croix,45.8942,5.05195
Blyes,45.85,5.25
Conzieu,45.7333,5.6
Nievroz,45.8333,5.06667
Nurieux-Volognat,46.1856,5.52667
Ambleon,45.75,5.6
Saint-Maurice-de-Gourdans,45.8167,5.2
Chezery-Forens,46.2167,5.88333
Sault-Brenaz,45.85,5.41667
Murs-et-Gelignieux,45.6333,5.66667
Le Petit-Abergement,46.0333,5.65
Cormoz,46.45,5.23333
Saint-Martin-de-Bavel,45.85,5.68333
Saint-Trivier-de-Courtes,46.4667,5.08333
Boyeux-Saint-Jerome,46.0333,5.46667
Chateau-Gaillard,45.9667,5.3
Premeyzel,45.6833,5.65
Arandas,45.9,5.48333
Chatenay,46.0333,5.2
Innimond,45.7833,5.56667
Boz,46.4,4.9
Briord,45.7833,5.46667
Reyrieux,45.9333,4.81667
Matafelon-Granges,46.2667,5.56667
Drom,46.2167,5.36667
Chatillon-en-Michaille,46.1333,5.78333
Polliat,46.25,5.13333
Vesancy,46.35,6.08333
Massieux,45.9167,4.83333
Saint-Cyr-sur-Menthon,46.2667,4.98333
Serrieres-sur-Ain,46.15,5.45
Nivollet-Montgriffon,45.9833,5.43333
Izernore,46.2167,5.55
Saint-Nizier-le-Desert,46.05,5.15
Guereins,46.1,4.78333
Illiat,46.1833,4.88333
La Trancliere,46.1167,5.26667
Saint-Didier-de-Formans,45.95,4.78333
Merignat,46.0667,5.43333
Saint-Eloi,45.9333,5.15
La Chapelle-du-Chatelard,46.0667,5.03333
Saint-Jean-de-Niost,45.8333,5.21667
Savigneux,46.0,4.85
Nattages,45.7333,5.76667
Saint-Benoit,45.7,5.58333
Douvres,45.9833,5.36667
Francheleins,46.0667,4.8
Dortan,46.3167,5.66667
Saint-Germain-les-Paroisses,45.7667,5.61667
Miribel,45.8245,4.95306
Lancrans,46.1333,5.83333
Echenevex,46.3167,6.03333
Saint-Jean-sur-Veyle,46.25,4.91667
Billiat,46.0667,5.78333
L'Abergement-de-Varey,46.0,5.41667
Villeneuve,46.0212,4.83667
Villars-les-Dombes,46.0,5.01667
Thezillieu,45.8833,5.6
Saint-Etienne-sur-Reyssouze,46.4,5.0
Souclin,45.8667,5.41667
Saint-Just,46.1903,5.28
Civrieux,45.9167,4.88333
Argis,45.9333,5.48333
Talissieu,45.8667,5.71667
Birieux,45.95,5.03333
Saint-Julien-sur-Veyle,46.2,4.95
Thoiry,46.2364,5.97973
Laiz,46.25,4.88333
Cressin-Rochefort,45.7667,5.76667
Saint-Champ,45.7833,5.73333
Saint-Georges-sur-Renon,46.1,5.03333
Lantenay,46.05,5.53333
Vernoux,46.4833,5.11667
Cormaranche-en-Bugey,45.95,5.6
Sainte-Euphemie,45.9667,4.78333
Beaupont,46.4,5.26667
Brens,45.7187,5.69473
Ramasse,46.2,5.35
Divonne-les-Bains,46.3667,6.13333
Leaz,46.1,5.88333
Villes,46.0833,5.78333
Saint-Julien-sur-Reyssouze,46.4,5.11667
Groslee,45.7167,5.56667
Vandeins,46.2167,5.08333
Verjon,46.35,5.35
Saint-Andre-sur-Vieux-Jonc,46.15,5.06667
Saint-Andre-d'Huiriat,46.2167,4.91667
Grilly,46.3333,6.11667
Cessy,46.3167,6.06667
Ordonnaz,45.8333,5.53333
Vescours,46.4667,5.03333
Meillonnas,46.25,5.35
Geovreisset,46.25,5.6
Ceyzerieu,45.8333,5.73333
Beard-Geovreissiat,46.2,5.56667
La Burbanche,45.85,5.56667
Perrex,46.2333,4.98333
Villemotier,46.35,5.31667
Jasseron,46.2167,5.33333
Corveissiat,46.2333,5.48333
Journans,46.15,5.33333
Sermoyer,46.5,4.98333
Charix,46.1833,5.68333
Arbignieu,45.7333,5.65
Leyssard,46.1667,5.46667
Saint-Jean-de-Thurigneux,45.95,4.88333
Frans,45.9833,4.78333
Tenay,45.9167,5.5
Bage-la-Ville,46.3167,4.95
Montmerle-sur-Saone,46.0833,4.76667
Courmangoux,46.3333,5.36667
Baneins,46.1167,4.9
Lagnieu,45.9,5.35
Attignat,46.2833,5.16667
Saint-Andre-de-Bage,46.3,4.91667
Pont-de-Vaux,46.4333,4.93333
Amberieu-en-Bugey,45.95,5.35
Peyzieux-sur-Saone,46.1167,4.81667
Crozet,46.2806,6.01251
Seyssel,45.9597,5.83194
Beynost,45.8333,5.0
Versonnex,46.3023,6.09723
Saint-Laurent-sur-Saone,46.3,4.83333
Artemare,45.8667,5.7
Montracol,46.1833,5.11667
Parves,45.75,5.75
Pugieu,45.8167,5.65
Virieu-le-Grand,45.85,5.65
Saint-Remy,46.1833,5.16667
Rance,45.9667,4.86667
Grieges,46.25,4.85
Grand-Corent,46.2,5.43333
Outriaz,46.0667,5.55
Montagnieu,45.8,5.46667
Champagne-en-Valromey,45.9,5.68333
Amberieux-en-Dombes,46.0,4.9
La Boisse,45.85,5.03333
Parcieux,45.9167,4.81667
Saint-Didier-d'Aussiat,46.3,5.06667
Saint-Nizier-le-Bouchoux,46.45,5.15
Ars-sur-Formans,45.9833,4.81667
Anglefort,45.9167,5.80833
Corlier,46.0333,5.5
Ferney-Voltaire,46.25,6.11667
Saint-Maurice-de-Remens,45.95,5.28333
Chatillon-la-Palud,45.9667,5.25
Saint-Sulpice,46.3203,5.04167
Saint-Bois,45.7,5.63333
Virignin,45.7167,5.71667
Premillieu,45.8667,5.56667
Genouilleux,46.1167,4.78333
Reyssouze,46.4333,4.91667
Collonges,46.1333,5.9
Saint-Germain-de-Joux,46.1833,5.73333
Bregnier-Cordon,45.65,5.61667
Saint-Martin-le-Chatel,46.2833,5.11667
Marignieu,45.8,5.71667
Neyrolles,46.1333,5.63333
Sulignat,46.1667,4.96667
Beny,46.3333,5.28333
Injoux-Genissiat,46.05,5.78333
Chanay,46.0,5.78333
Chatillon-sur-Chalaronne,46.1167,4.96667
Farges,46.1667,5.91667
Saint-Alban,46.1,5.45
Curtafond,46.2667,5.08333
Viriat,46.25,5.21667
Belleydoux,46.25,5.76667
Bage-le-Chatel,46.3,4.93333
Sainte-Olive,46.0167,4.93333
Saint-Genis-sur-Menthon,46.2833,5.01667
Domsure,46.4167,5.3
Chavannes-sur-Suran,46.2667,5.41667
Priay,46.0,5.28333
Peyrieu,45.6767,5.67751
Lalleyriat,46.15,5.71667
Sergy,46.25,6.0
Saint-Martin-du-Frene,46.1333,5.55
Saint-Maurice-de-Beynost,45.8333,4.96667
Servas,46.1333,5.16667
Cuzieu,45.8192,5.67445
Jayat,46.3667,5.11667
Lavours,45.8,5.76667
Chevroux,46.3833,4.95
